tweet_id,favourite_count,retweet_count
834477809192075265,0,12146
834458053273591808,10482,1893
834209720923721728,22505,5442
834167344700198914,17141,4111
834089966724603904,10957,2420
834086379323871233,14240,2504
833863086058651648,14594,2717
833826103416520705,16661,3886
833732339549220864,0,250
833722901757046785,22501,3626
833479644947025920,16193,2345
833124694597443584,22062,5490
832998151111966721,14506,2508
832769181346996225,0,44
832757312314028032,18356,4109
832682457690300417,12969,3348
832645525019123713,3185,590
832636094638288896,17310,3202
832397543355072512,13067,2533
832369877331693569,18715,3634
832273440279240704,12339,2657
832215909146226688,0,7033
832215726631055365,0,10673
832088576586297345,72,3
832040443403784192,0,11050
832032802820481025,13826,4720
831939777352105988,26297,6992
831926988323639298,369,39
831911600680497154,30248,7409
831670449226514432,11439,2053
831650051525054464,7868,2226
831552930092285952,9843,2620
831322785565769729,10011,1737
831315979191906304,7087,1261
831309418084069378,12777,2772
831262627380748289,13018,2338
830956169170665475,8705,1725
830583320585068544,73157,19188
830173239259324417,0,6519
830097400375152640,10769,3441
829878982036299777,0,5734
829861396166877184,13402,2234
829501995190984704,34779,12146
829449946868879360,11484,2319
829374341691346946,37930,10647
829141528400556032,26859,8486
829011960981237760,58067,18527
828801551087042563,0,3880
828770345708580865,27990,6713
828708714936930305,40107,12811
828650029636317184,10437,1540
828409743546925057,6873,1300
828408677031882754,8368,1468
828381636999917570,13819,2540
828376505180889089,8084,1210
828372645993398273,13706,3325
828361771580813312,2401,194
828046555563323392,12887,3245
828011680017821696,11364,2441
827933404142436356,22098,5958
827653905312006145,16917,3414
827600520311402496,8125,1080
827324948884643840,17444,3490
827228250799742977,0,13452
827199976799354881,11609,2566
826958653328592898,23675,5734
826848821049180160,40170,11805
826615380357632002,0,4498
826598799820865537,5617,292
826598365270007810,11076,2701
826476773533745153,20201,4801
826240494070030336,14564,2957
826204788643753985,5340,1070
826115272272650244,17239,3584
825876512159186944,11481,2138
825829644528148480,13974,2837
825535076884762624,56199,19563
825147591692263424,20129,5223
825120256414846976,0,1477
825026590719483904,6991,1477
824796380199809024,0,6262
824775126675836928,16440,4042
824663926340194305,11068,1986
824325613288833024,12961,11791
824297048279236611,16567,4442
824025158776213504,5234,675
823939628516474880,11712,3110
823719002937630720,0,12874
823699002998870016,13786,2764
823581115634085888,14336,3020
823333489516937216,773,30
823322678127919110,17363,4615
823269594223824897,0,11350
822975315408461824,19071,3936
822872901745569793,132318,47958
822859134160621569,14526,2611
822647212903690241,0,7349
822610361945911296,16259,3409
822489057087389700,20023,7349
822462944365645825,31684,17089
822244816520155136,38696,11350
822163064745328640,0,5529
821886076407029760,12529,2682
821813639212650496,0,3810
821765923262631936,9285,1893
821522889702862852,8842,2021
821421320206483457,0,6424
821407182352777218,13026,5031
821153421864615936,278,10
821149554670182400,9678,2309
821107785811234820,10596,2477
821044531881721856,13974,2622
820837357901512704,0,7694
820749716845686786,34862,11466
820690176645140481,13476,3699
820494788566847489,0,646
820446719150292993,0,2968
820314633777061888,3696,646
820078625395449857,21891,7216
820013781606658049,0,1361
819952236453363712,5903,1361
819924195358416896,14243,5576
819711362133872643,14863,3583
819588359383371776,10556,2259
819347104292290561,7982,1377
819238181065359361,2539,459
819227688460238848,25548,7694
819015337530290176,0,42045
819015331746349057,0,21699
819006400881917954,49786,21699
819004803107983360,95138,42045
818646164899774465,0,23959
818627210458333184,24481,8527
818614493328580609,10920,2965
818588835076603904,0,7085
818536468981415936,12086,2864
818307523543449600,0,9331
818259473185828864,12163,2611
818145370475810820,13621,2993
817908911860748288,5337,902
817827839487737858,57371,31140
817777686764523521,11855,3071
817536400337801217,13051,3488
817502432452313088,0,3902
817423860136083457,38096,17399
817415592588222464,6234,1122
817181837579653120,0,9846
817171292965273600,9650,2315
817120970343411712,13331,3004
817056546584727552,9489,1916
816829038950027264,0,5468
816816676327063552,11030,2350
816697700272001025,10860,2529
816450570814898180,33829,9331
816336735214911488,9529,2253
816091915477250048,9882,2490
816062466425819140,0,1201
816014286006976512,0,6115
815990720817401858,5526,1201
815966073409433600,24964,9846
815745968457060357,0,4774
815736392542261248,10894,2607
815639385530101762,9130,1901
815390420867969024,11423,4388
814986499976527872,8447,1500
814638523311648768,12481,3119
814578408554463233,0,6716
814530161257443328,9597,2143
814153002265309185,31880,10034
813944609378369540,0,3717
813910438903693312,10296,2180
813812741911748608,40231,16183
813800681631023104,9265,2042
813217897535406080,20708,8436
813202720496779264,10160,2079
813187593374461952,22007,5063
813172488309972993,10344,2227
813157409116065792,8553,2547
813142292504645637,9316,2714
813130366689148928,4949,511
813127251579564032,13188,3628
813112105746448384,11462,3208
813096984823349248,11644,4187
813081950185472002,10956,3201
813066809284972545,8825,2259
813051746834595840,23221,8455
812781120811126785,8342,2187
812747805718642688,0,8025
812709060537683968,7344,1658
812503143955202048,6759,1419
812466873996607488,8873,2218
812372279581671427,15161,4230
811985624773361665,8067,1642
811744202451197953,8390,1873
811647686436880384,6189,866
811627233043480576,14210,3633
811386762094317568,23211,7405
810984652412424192,5904,1647
810896069567610880,10057,2082
810657578271330305,12150,3043
810284430598270976,39481,13304
810254108431155201,16308,3880
809920764300447744,17181,4498
809808892968534016,0,5679
809448704142938112,7693,1687
809220051211603969,22165,6519
809084759137812480,14628,4029
808838249661788160,11221,3516
808733504066486276,8769,2502
808501579447930884,12533,2996
808344865868283904,47106,23959
808134635716833280,0,6925
808106460588765185,9671,2515
808001312164028416,13948,4075
807621403335917568,16179,4267
807106840509214720,106634,56373
807059379405148160,0,8471
807010152071229440,14452,4402
806629075125202948,83401,40437
806620845233815552,0,6383
806576416489959424,5350,2216
806542213899489280,11321,2747
806242860592926720,0,13512
806219024703037440,7122,1383
805958939288408065,0,6201
805932879469572096,9164,2195
805826884734976000,7304,2126
805823200554876929,0,9320
805520635690676224,6342,1899
805487436403003392,9734,2916
805207613751304193,8644,1964
804738756058218496,15262,4461
804475857670639616,6856,2341
804413760345620481,0,3698
804026241225523202,49596,18791
803773340896923648,11157,3202
803692223237865472,0,8638
803638050916102144,12226,4803
803380650405482500,8575,2155
803321560782307329,0,6178
803276597545603072,11161,2868
802952499103731712,10047,2322
802624713319034886,0,3390
802600418706604034,7919,1700
802572683846291456,9919,2909
802323869084381190,18061,6780
802265048156610565,7011,1568
802247111496568832,0,5202
802239329049477120,10088,3029
802185808107208704,0,314
801958328846974976,8574,1984
801854953262350336,1948,274
801538201127157760,9109,2377
801285448605831168,6760,955
801167903437357056,27290,6925
